Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2020-01-02,72.33384704589844,72.39405500792273,71.0911538277646,71.34402432842471,135480400
2020-01-03,71.63064575195312,72.38926493117573,71.40667380039741,71.56321309934685,146322800
2020-01-06,72.2013931274414,72.23992710936326,70.50353134989086,70.7539985575802,118387200
2020-01-07,71.86185455322266,72.46633779595872,71.6426965801033,72.21105649751387,108872000
2020-01-08,73.01782989501953,73.31886979288494,71.56561372170107,71.56561372170107,132079200
2020-01-09,74.56877136230469,74.7614339140141,73.74271983118284,73.99317967848403,170108400
2020-01-10,74.73736572265625,75.30091887725054,74.23643856809193,74.80239504412852,140644800
2020-01-13,76.3340835571289,76.36057889021191,74.93485068528152,75.05286332420356,121532000
2020-01-14,75.30332946777344,76.48100118582082,75.18051017572739,76.27147857331117,161954400
2020-01-15,74.98062133789062,75.98248317068368,74.54953007278792,75.10344798902688,121923600
2020-01-16,75.91984558105469,76.03063354644571,75.16122656820497,75.52247441714353,108829200
2020-01-17,76.76036071777344,76.7627640392473,75.86205500785368,76.16790890123319,137816400
2020-01-21,76.24018096923828,76.83021490503033,76.10290497799846,76.38949561952354,110843200
2020-01-22,76.5123062133789,77.06380603496487,76.4183782339569,76.72423213565071,101832400
2020-01-23,76.88079833984375,76.96026966222608,76.01861570517516,76.56530902285643,104472000
2020-01-24,76.6592025756836,77.8681760847734,76.46894331412666,77.12641705620177,146537600
2020-01-27,74.405029296875,75.08416976822737,73.42484155700832,74.67234921705278,161940000
2020-01-28,76.5099105834961,76.68089922753784,75.18533472345831,75.2840767149778,162234000
2020-01-29,78.11143493652344,78.95675744540253,77.39857441186852,78.13793027321145,216229200
2020-01-30,77.99823760986328,78.05122092954578,76.76517927864235,77.19627050016777,126743200
2020-01-31,74.53990173339844,77.71165450707113,74.24608645041388,77.29019858022654,199588400
2020-02-03,74.3351821899414,75.49839714349714,72.78422401879573,73.2851511845041,173788400
2020-02-04,76.78926086425781,76.9795201431656,75.53211792000401,75.93671379066781,136616400
2020-02-05,77.41543579101562,78.21258898353346,76.81335589638837,77.91395235806485,118826800
2020-02-06,78.32097625732422,78.32338692930988,77.12886221236752,77.68518356993593,105425600
2020-02-07,77.25637817382812,78.0699069624119,76.76632925971391,77.82126159942887,117684000
2020-02-10,77.62330627441406,77.62330627441406,75.76450341427329,75.84416334192943,109348800
2020-02-11,77.15496063232422,78.19058359645562,76.93769897957516,78.11816550122239,94323200
2020-02-12,78.98722839355469,78.9920538114317,77.60398368209574,77.60398368209574,113730400
2020-02-13,78.42475128173828,78.75064746940821,78.05782062596876,78.26059867524006,94747600
2020-02-14,78.44407653808594,78.6927218682662,77.93712767417983,78.39337649475979,80113600
2020-02-18,77.00772857666016,77.18878123005356,75.94796350927948,76.12901616267288,152531200
2020-02-19,78.12300109863281,78.35233737517142,77.24912158938099,77.24912158938099,93984000
2020-02-20,77.321533203125,78.3716398349872,76.81700080414447,77.88400744802773,100566000
2020-02-21,75.57135772705078,77.35774940247184,74.95578178960817,76.91597690115918,129554000
2020-02-24,71.98170471191406,73.43012593023869,69.82114748147725,71.75961758398634,222195200
2020-02-25,69.54353332519531,73.0318176639516,69.07280081018256,72.65040328612861,230673600
2020-02-26,70.646728515625,71.90927139616765,69.16209855410392,69.16934036398257,198054800
2020-02-27,66.02867126464844,69.0413890764873,65.89348591735909,67.85851360418104,320605600
2020-02-28,65.99006652832031,67.20915879544067,61.88862284247871,62.10347552395671,426510000
2020-03-02,72.13377380371094,72.76866613954134,67.04257525684778,68.14337454443714,341397200
2020-03-03,69.84286499023438,73.3866667341741,68.99311992366323,73.30700681770827,319475600
2020-03-04,73.0824966430664,73.24182384454771,70.76261243598904,71.56165746891385,219178400
2020-03-05,70.71192169189453,72.31242082695749,70.34740002247567,71.33956494467967,187572800
2020-03-06,69.77284240722656,70.20495666747604,67.88989834828591,68.07577636210152,226176800
2020-03-09,64.2543716430664,67.13189718407227,63.489119320777824,63.670171942415024,286744800
2020-03-10,68.882080078125,69.14762542571471,65.0268655374001,66.90257561810807,285290000
2020-03-11,66.4897689819336,67.88749740945617,65.62795665733853,66.96292517997638,255598800
2020-03-12,59.923587799072266,65.17894285229022,59.86806602728879,61.78481034349421,418474000
2020-03-13,67.1029052734375,67.5736448634502,61.0629910047646,63.94535195443854,370732000
2020-03-16,58.470340728759766,62.54281272853614,57.93683739697829,58.40757346412376,322423600
2020-03-17,61.04128646850586,62.1879493594709,57.550590391518064,59.74977632698614,324056000
2020-03-18,59.547000885009766,60.35087498179023,57.24159672400037,57.881318208922394,300233600
2020-03-19,59.09074783325195,61.036459434063396,58.566902685612334,59.72081110917334,271857200
2020-03-20,55.33934783935547,60.792652825729554,55.04000612907548,59.670124174823826,401693200
2020-03-23,54.16371536254883,55.16071324010263,51.32481083433544,55.059324187329935,336752800
2020-03-24,59.59769821166992,59.79323446043245,56.56084169108887,57.05813231967632,287531200
2020-03-25,59.269386291503906,62.34245170831376,58.97487373705756,60.53192552123785,303602000
2020-03-26,62.388328552246094,62.44626304168301,59.47217348326275,59.510798931904375,252087200
2020-03-27,59.80531311035156,61.76792134587147,59.638744081772344,61.0147434951052,204216800
2020-03-30,61.512027740478516,61.68342585318123,60.206033868463194,60.529517371062305,167976400
2020-03-31,61.386497497558594,63.366005560924876,60.833685075362965,61.70273919270683,197002000
2020-04-01,58.156532287597656,60.0418934941811,57.72683424722381,59.50597729847422,176218400
2020-04-02,59.126956939697266,59.18006600388776,57.188487147319506,58.018915768998035,165934000
2020-04-03,58.2772216796875,59.31284110700112,57.68819653151743,58.61277240805976,129880000
2020-04-06,63.36116027832031,63.5156546468286,60.201190178307634,60.56812074968202,201820400
2020-04-07,62.62730026245117,65.5893255452028,62.52349853876049,65.37205652922795,202887200
2020-04-08,64.23023986816406,64.54406151460887,63.061847651130236,63.42636197678972,168895200
2020-04-09,64.6937255859375,65.19584902236409,63.89951332637289,64.86512738575412,161834800
2020-04-13,65.9635009765625,66.07213548949194,64.17228391165321,64.77096719479518,131022800
2020-04-14,69.29486083984375,69.58454794114515,67.12222968123038,67.59296937908287,194994800
2020-04-15,68.66240692138672,69.12107217268907,67.74507641878203,68.17235803124424,131154400
2020-04-16,69.20796203613281,69.57248363661981,68.16027185080422,69.37453102131897,157125200
2020-04-17,68.2688980102539,69.27072829912615,66.83496081662895,68.72515410233876,215250000
2020-04-20,66.85188293457031,67.99854979022932,66.83257389218826,67.09811926901436,130015200
2020-04-21,64.78545379638672,66.92911797835283,64.07572694243713,66.69495629705587,180991600
2020-04-22,66.65149688720703,67.08602016909022,65.71002486509416,66.05039726124157,116862400
2020-04-23,66.3932113647461,68.0154433517939,66.35458591659604,66.59598944224571,124814400
2020-04-24,68.3099594116211,68.3196176159111,66.8687799957314,66.91706365013007,126161200
2020-04-27,68.35826873779297,68.68899053017678,67.58094875918225,68.02753957835507,117087600
2020-04-28,67.25019836425781,69.00037411858965,67.15847120269908,68.81932145434843,112004800
2020-04-29,69.45904541015625,69.92736888191205,68.53205667132409,68.73483476728254,137280800
2020-04-30,70.92436218261719,71.1005894315717,69.6087172156617,69.99737340670072,183064000
2020-05-01,69.78250122070312,72.17963585405194,69.00518177066984,69.10174168301795,240616800
2020-05-04,70.76985168457031,70.89779524622708,69.11865261133845,69.80665406694762,133568000
2020-05-05,71.83202362060547,72.66245223551824,71.08367131021836,71.2285148811078,147751200
2020-05-06,72.57315063476562,73.20321036598678,72.14827802802382,72.53210878963873,142333600
2020-05-07,73.32390594482422,73.66911859215423,72.89662434827942,73.19837876119128,115215200
2020-05-08,75.06913757324219,75.12239040799929,73.65552559886389,73.98230402182824,133838400
2020-05-11,76.25038146972656,76.74417245398942,74.36959376483475,74.57776663572473,145946400
2020-05-12,75.37895202636719,77.38318317958411,75.25792355724299,76.93295343320654,162301200
2020-05-13,74.46883392333984,76.47791143801962,73.39410026175051,75.55809041384309,200622400
2020-05-14,74.92631530761719,74.98682954910396,72.98743664654351,73.70876906438306,158929200
2020-05-15,74.48334503173828,74.52933644505968,72.66791783323735,72.70180935336562,166348400
2020-05-18,76.2382583618164,76.611028150083,75.11511790410643,75.80498172029709,135178400
2020-05-19,75.7977294921875,77.0999898949941,75.76626090152799,76.25521336264156,101729600
2020-05-20,77.27185821533203,77.34204942619355,76.6158784313997,76.65460843756124,111504800
2020-05-21,76.69575500488281,77.67366726497515,76.4585365069764,77.13387754437865,102688800
2020-05-22,77.1895523071289,77.27185079219365,76.33266854723075,76.43432834001963,81803200
2020-05-26,76.66671752929688,78.4845606060167,76.61104175906425,78.30544078691085,125522000
2020-05-27,77.00074768066406,77.14598335609439,75.78562421645006,76.52390248864035,112945200
2020-05-28,77.03463745117188,78.29091382648822,76.4004493161322,76.67639044487011,133560800
2020-05-29,76.9595947265625,77.73659554294788,76.60377068012559,77.27668877080987,153532400
2020-06-01,77.90602111816406,78.02704957806893,76.78287346449119,76.91358626954592,80791200
2020-06-02,78.26667785644531,78.29088502405892,77.19920603150173,77.63975136630202,87642800
2020-06-03,78.69756317138672,78.95898884323296,78.01496072344597,78.58621903033732,104491200
2020-06-04,78.0197982788086,78.81858326292213,77.64702850562604,78.52085794063949,87560400
2020-06-05,80.24188995361328,80.30240419943048,78.2400813612976,78.26912701737099,137250400
2020-06-08,80.71631622314453,80.75020774515244,79.23009024878114,79.93931540745123,95654400
2020-06-09,83.26519012451172,83.6573213064147,80.3653518160227,80.39682040985336,147712400
2020-06-10,85.40736389160156,85.87453198047866,83.77347966007517,84.21160210008814,166651600
